observed expected clinical lower_bound upper_bound conf_interval
0.0119047619047619 0.0298964618956351 -1 0.0276899631782984 0.0319207288618512 -1
0.0101010101010101 0.0319852698927204 -1 0.0295942840185158 0.0341630482427207 -1
0.0449438202247191 0.031872554775615 1 0.0295957048315872 0.0340058096727399 1
0.0357142857142857 0.0309099105904813 0 0.0287261761651512 0.0329673851300782 1
0.00943396226415094 0.0315104185227871 -1 0.0292304183459448 0.0335299753046439 -1
0.0208333333333333 0.0291329107518556 -1 0.0271156709780404 0.0310706803313487 -1
0.0736842105263158 0.0295140618655137 1 0.0274298091262697 0.0314956825350326 1
0.027027027027027 0.031610026076991 0 0.0293376955817259 0.0337654113353451 -1
0 0.0300858566568255 -1 0.0279155963231312 0.032088182389795 -1
0.021978021978022 0.0308423285783834 -1 0.0286490055961818 0.0328370091689676 -1
0.0116279069767442 0.0295144541164296 -1 0.0274038243272308 0.0314855173005848 -1
0.043010752688172 0.0319519334456576 1 0.029699646984139 0.0341000175480197 1
0.0384615384615385 0.0310237550918077 1 0.0288136362462443 0.0330597804348036 1
0.010752688172043 0.0289117626540725 -1 0.026861623847008 0.0308631391366758 -1
0.03125 0.0313898849937823 0 0.0291465064089515 0.0334336436656991 0
0.00943396226415094 0.0297712085711644 -1 0.0276685178859 0.0317826348603177 -1
0.130952380952381 0.0326750551243071 1 0.0303130777871123 0.0349119306000473 1
0.0224719101123595 0.030025396496357 -1 0.0278349897655075 0.0320026096352775 -1
0 0.0296068839211195 -1 0.0275240338505768 0.0315205119557977 -1
0.021978021978022 0.027557737413813 -1 0.0254980747452291 0.0294541152733097 -1
0.0465116279069767 0.0305082093661357 1 0.0283103555112066 0.0324947548320471 1
0.025 0.0305774110552761 0 0.0283845982167428 0.0325797358574351 -1
0.0459770114942529 0.0286753989167339 1 0.0267236552821356 0.0305984599878542 1
0.0404040404040404 0.0304934564037258 1 0.028273240907382 0.0324265952307258 1
0.0326086956521739 0.0300162756285763 0 0.0278214077579823 0.0320364722107135 1
0.043010752688172 0.030539440573592 1 0.0283851237979757 0.0325799754497037 1
0.0111111111111111 0.0319232208869386 -1 0.0295685819677765 0.0341399615509791 -1
0.0515463917525773 0.0319561710676266 1 0.0296189957608053 0.0340984130945126 1
0.0224719101123595 0.0301710550032227 -1 0.027937859123135 0.0321907454323768 -1
NA NA 0 NA NA 0
0.06 0.0296521153663821 1 0.0274857571669933 0.0315993649690629 1
0 0.0310833123451187 -1 0.0288710049420705 0.033149015126437 -1
0 0.0304456013480778 -1 0.0282799548984755 0.0324774341898911 -1
0.102272727272727 0.0303655038207466 1 0.0282277793492787 0.0323390864426351 1
0.051948051948052 0.0297861149848153 1 0.0276339855475815 0.031764494795266 1
0.0106382978723404 0.0287673797315922 -1 0.0266848089292043 0.0306822782558812 -1
0.0384615384615385 0.0292483156509034 1 0.0271409001539401 0.0312521695002797 1
0.00961538461538462 0.0298362940267658 -1 0.0276806085603519 0.0317829043811801 -1
0.0416666666666667 0.030381044421389 1 0.0282995361698982 0.0323861462422479 1
0.0253164556962025 0.0294794104738425 0 0.0273713078041826 0.0314233598888966 -1
0.036697247706422 0.0295749379808708 1 0.0274716555396533 0.0315315301568359 1
0 0.0287577575708775 -1 0.0266607455798905 0.0306996309753537 -1
0.0253164556962025 0.0302042091447335 0 0.0280823566099845 0.0322174837411913 -1
0 0.0303557914540081 -1 0.0282040202595319 0.0322987866239836 -1
