	Overall	demind = 0	demind = 1
n	187	119	68
gender (%)                   1	82 (43.9)	59 (49.6)	23 (33.8)
2	105 (56.1) 	60 (50.4) 	45 (66.2) 
SES (mean (sd))	49.32 (11.68)	49.66 (10.86)	48.74 (13.07)
age (mean (sd))	80.10 (8.87) 	77.16 (8.92)	85.24 (6.01)
animals ( mean(sd))	17.33 (5.11) 	18.30 (4.99)	15.62 (4.91)
			
	Obs. Per person	Time followed	
mean	7.775401	8.822995	
min	3	2	
max	14	26.6	
